station,lat,lon,dist_m,path_length_diff_m,direct_path_length,diffracted_path_length,sta_lta_amp,peak_freq,pre_shot_rms,arr_time
4001,46.166599,-122.189499,16773.5555881699,39.89946005171805,16771.305883653324,16811.20534370504,3.1309122558135365,37.933349609375,1.744249263541263e-06,49.087999999999994
4003,46.1665,-122.183998,17196.50543060816,42.43955983897831,17193.06615548943,17235.505715328407,2.152354218535572,41.68701171875,1.0951365321523794e-06,51.6
4004,46.1646,-122.182297,17353.8160263052,43.29594052580069,17349.27577346326,17392.571713989062,1.9607877280230679,46.142578125,6.514599831471939e-07,52.328
4005,46.162701,-122.182198,17390.81078392442,45.729815219237935,17385.685054943064,17431.4148701623,2.198131509147894,44.891357421875,9.646407475882783e-07,53.896
4006,46.1609,-122.180397,17558.431455566075,61.901739541957795,17552.319199987447,17614.220939529405,2.999048467123135,44.158935546875,1.8399593614785554e-06,51.952
4007,46.159698,-122.178101,17754.68447149297,44.3492861402774,17748.5003135842,17792.84959972448,2.2071282161718706,17.02880859375,6.398262836607331e-07,52.496
4009,46.1586,-122.173203,18147.835087443247,47.740641422798944,18141.307060770818,18189.047702193617,2.592877945910085,44.342041015625,8.002297564507254e-06,55.808
4010,46.157501,-122.170502,18373.921656320912,42.96145674944273,18367.327979849175,18410.289436598618,2.8525981762682564,18.98193359375,5.255001698913987e-07,54.504000000000005
4012,46.157501,-122.1642,18853.87155962041,42.976751718175365,18847.077291260266,18890.05404297844,1.723739175238259,13.763427734375,6.558825351571822e-07,55.216
4013,46.1567,-122.1623,19013.41517775913,43.411740539002494,19006.538692121685,19049.950432660688,4.789180796467193,39.215087890625,6.366339568782183e-06,57.616
4014,46.155102,-122.1614,19112.526753886294,38.95699258551031,19105.608808244015,19144.565800829525,6.024387334156845,34.85107421875,1.5393908487457431e-06,57.663999999999994
4015,46.153702,-122.158302,19375.886793311525,40.5589683774233,19368.905089773103,19409.464058150526,2.1893395561993674,41.595458984375,1.657782494837512e-06,60.544
4016,46.1549,-122.154404,19648.545140821454,40.119878598547075,19641.451200684933,19681.57107928348,1.995689035812052,22.15576171875,7.65848926826854e-06,57.688
4017,46.1567,-122.152802,19737.004069461324,42.134485450951615,19729.869385508067,19772.00387095902,2.99749428863479,42.3583984375,2.6420433754373724e-06,60.704
4018,46.158798,-122.151497,19800.18278728295,45.36121396883027,19793.03057569379,19838.39178966262,2.022369454724873,14.16015625,5.745766784755558e-07,59.352
4019,46.161499,-122.149498,19910.402858462996,48.759693269941636,19903.231994400838,19951.99168767078,2.795405882557601,46.69189453125,1.8215792069735987e-06,60.992
4020,46.163799,-122.147697,20015.832924259525,55.894736250367714,20008.718057465747,20064.612793716115,4.875453692860081,43.02978515625,7.677356179715378e-07,62.248
4021,46.165501,-122.147797,19986.23138919444,53.91691551416443,19979.451169247433,20033.368084761598,2.345205348372718,7.293701171875,1.3552123741786343e-06,61.232
4022,46.1665,-122.145599,20142.988417307555,55.07146193061271,20136.29703738408,20191.368499314693,5.803692805080724,30.21240234375,5.541663019973304e-06,59.8
4023,46.167702,-122.144096,20244.924053915533,65.24084617759945,20238.137079280543,20303.377925458142,2.72742788945584,44.403076171875,2.562195862787947e-06,61.52
4024,46.1698,-122.145599,20107.811363018576,74.50315549717925,20101.19783186795,20175.70098736513,9.670491361594863,46.9970703125,3.0937207120851652e-06,57.92
4025,46.171101,-122.147797,19926.572223111034,80.5936419730424,19920.140413418798,20000.73405539184,6.960583624984694,41.93115234375,8.365664944801166e-07,60.392
4026,46.1721,-122.149101,19817.54060546454,92.37901286985289,19811.04567610181,19903.424688971663,4.4731691738464345,46.630859375,3.3311691094017234e-07,59.52
4027,46.173401,-122.148598,19845.944688151918,99.11145187566945,19839.500558265263,19938.612010140932,7.989863469731153,45.562744140625,2.9783657334586434e-07,58.968
4028,46.1749,-122.148003,19881.208197704284,108.17092598075396,19874.900643786423,19983.071569767177,3.0469706432637738,47.119140625,1.727191412541415e-06,61.248
4029,46.176102,-122.147797,19889.616348005537,119.07471234929835,19883.412333527067,20002.487045876365,2.3106013888861194,22.0947265625,1.6752153878877768e-06,59.872
4030,46.177601,-122.146103,20012.228809540225,125.17279378843887,20006.240456313684,20131.413250102123,3.3248385703591063,34.515380859375,1.6762110055773893e-06,60.28
