station,lat,lon,dist_m,path_length_diff_m,sta_lta_amp,pre_shot_rms
4001,46.166599,-122.189499,55565.22854144215,89.78848342003039,2.6676134734633035,2.5444052675313284e-06
4003,46.1665,-122.183998,55357.04798504816,70.50931974561536,2.8239671619123774,8.998655758688504e-07
4004,46.1646,-122.182297,55472.29807025282,59.385337462226744,1.990461943722215,7.942820964213911e-07
4005,46.162701,-122.182198,55650.609177014725,53.63264409767726,2.4953443931474624,1.3241263921942915e-06
4006,46.1609,-122.180397,55753.77653199803,59.81779586204357,4.656955289621067,3.903056807392213e-06
4007,46.159698,-122.178101,55781.031386215516,43.05619852773816,2.503202465040676,6.044067992331383e-07
4009,46.1586,-122.173203,55700.057287917254,35.83088065087941,5.668457396162539,1.792163925805675e-05
4010,46.157501,-122.170502,55704.4404251855,27.365784870758944,4.977251530966566,3.871227385052246e-07
4012,46.157501,-122.1642,55468.6584566643,17.872707562026335,1.9752808149578962,5.544301961489617e-07
4013,46.1567,-122.1623,55476.37901964686,15.68538552289101,4.619175210158604,5.757973398879039e-06
4014,46.155102,-122.1614,55599.299307025896,15.839485457749106,7.246866434054154,1.3631209271345606e-06
4015,46.153702,-122.158302,55622.947879474305,17.726368890856975,5.358244232822228,1.677283456090872e-06
4016,46.1549,-122.154404,55363.88959834529,10.637238716328284,2.1153553294423197,1.2439689965761519e-05
4017,46.1567,-122.152802,55129.15640536699,8.736865271996066,5.108140364429393,2.7574439352636406e-06
4018,46.158798,-122.151497,54875.901385140634,10.747015024644497,2.0699081651690414,5.325909238004239e-07
4019,46.161499,-122.149498,54538.32373899977,13.20675920501526,2.6116262273311417,2.0508081579578682e-06
4020,46.163799,-122.147697,54247.29200624763,12.651018882519566,7.108549789343751,1.0103763370731245e-06
4021,46.165501,-122.147797,54083.862858383116,11.029705178574659,2.1701088461174005,1.0317170396123767e-06
4022,46.1665,-122.145599,53906.138171874154,0.7972537959067267,3.6327841238021934,4.519381311776041e-06
4023,46.167702,-122.144096,53733.73136462596,0.47440074339101557,4.347051635784583,2.3524813053887883e-06
4024,46.1698,-122.145599,53582.35846854979,0.24865807488095015,8.99982926511258,4.042686685320427e-06
4025,46.171101,-122.147797,53535.271491369735,0.46218012613098836,8.890755186288153,3.4504333987268337e-06
4026,46.1721,-122.149101,53485.5619438642,1.2596514066244708,8.268386645473923,5.11536400187993e-07
4027,46.173401,-122.148598,53339.95499485763,1.592781635124993,5.506147797143699,1.6760485197962464e-06
4028,46.1749,-122.148003,53171.64648517202,1.597159815391933,6.0162375434896544,1.8615715394758086e-06
4029,46.176102,-122.147797,53046.73785286192,3.04888134101202,2.001017531610255,9.732132596715245e-07
4030,46.177601,-122.146103,52837.819205703876,0.2936327146089752,2.8347905383531504,1.2276764973655986e-06
4031,46.179298,-122.147202,52713.09298775869,0.1684534661617363,3.0388210438055845,7.527325410079386e-07
4032,46.181801,-122.1464,52439.49039749069,0.14329607084800955,2.4331105746667516,5.700281431135975e-07
4033,46.183601,-122.147499,52305.52275309123,0.1596280379453674,2.16557354144661,5.718844960830119e-07
4034,46.1852,-122.147903,52165.42656473834,0.6682291433680803,2.9538081271937875,1.2521592046277495e-06
4035,46.186699,-122.146698,51974.593531940365,1.2724008212753688,2.7849407381739515,1.951746258465408e-06
4036,46.188301,-122.1465,51811.72284717326,0.21659068027656758,2.771265132484839,5.108711538754759e-07
4037,46.189499,-122.146301,51688.0688485824,0.6051020929808146,2.561497175916722,5.843717853419521e-07
4038,46.190399,-122.144997,51551.5639749501,0.7629393081515445,2.1473568861640127,2.6894623298283035e-07
4039,46.191002,-122.143501,51436.6656626009,1.9841440327290911,4.857784971424831,1.2686885647687042e-07
4040,46.192001,-122.142502,51302.1108548613,2.5752451999869663,1.9236415664915123,7.537870533480283e-07
4041,46.192501,-122.140099,51163.29938162453,4.61838094896666,2.269340685335554,1.5228999253466286e-07
4042,46.192799,-122.137199,51025.98466692105,4.367495591781335,2.6304319422079567,4.7490629011551745e-07
4043,46.194199,-122.1353,50818.98605641531,0.425812640125514,2.0782148671065825,4.6167937001985337e-07
4044,46.195599,-122.1362,50716.2237289745,3.5348291754053207,2.3268038960041775,2.3580425881183205e-07
4045,46.196701,-122.139198,50721.65159571811,5.716944355932355,2.2372719351975077,2.590912074061519e-07
4046,46.198002,-122.139099,50591.759562480554,6.120512826368213,2.452532878536879,7.897115001986566e-07
4047,46.199799,-122.138496,50394.823298282885,4.02366989350412,2.7043776840041556,3.444891839456618e-07
4048,46.200199,-122.135803,50254.39463061172,5.947302534026676,4.008870456744259,2.8479736843407224e-07
4049,46.2019,-122.135696,50085.36961266757,6.8695605407774565,3.35795974025141,3.9996636615929985e-07
4050,46.203499,-122.136597,49964.57639856566,3.780792930832831,4.933864963081855,3.6474650728536436e-07
4051,46.205502,-122.136902,49782.448860765806,0.5951696029078448,2.48857642398908,5.854004182859598e-07
4052,46.207802,-122.136703,49552.70211558822,4.035495623335009,5.512341958500066,2.005560831147366e-07
4053,46.2099,-122.138,49400.25241750152,13.018772925090161,3.794606731472409,1.7917251304736645e-07
4054,46.211601,-122.138702,49263.7134185161,5.81424883876025,2.3840541500005217,1.546637993074394e-07
4055,46.212898,-122.139297,49162.19843405194,1.5401542826657533,3.4718016878438416,1.8320996397009363e-06
4056,46.212799,-122.141899,49273.168343539124,2.2460119534807745,2.4720059323557297,1.2168649368136038e-07
4057,46.212799,-122.144096,49359.30918070921,3.125927650144149,2.606079609226502,9.968292967279118e-08
4058,46.212799,-122.146797,49465.79620930331,3.174789645971032,2.127225054356405,1.262991862453082e-07
4060,46.2146,-122.150803,49453.66041459421,6.9999444702480105,4.295287369387243,1.458382177839431e-07
4061,46.216202,-122.153603,49414.28528053448,2.0187071766049485,2.8209222002788596,1.4969053026742585e-07
4062,46.217999,-122.153397,49235.864097504345,2.368017847467854,2.677775972986625,2.4402658169258865e-08
4063,46.219601,-122.1549,49145.591478969895,3.789390901751176,2.4765882440830476,1.5989279163746876e-07
